Order_ID,Customer_ID,Age,Gender,City,Product_Category,Product,Quantity,Unit_Price,Discount,Payment_Method,Order_Date,Rating,Delivery_Days,Returned,Total_Amount,Expected_Total,Difference,Difference_Percentage
ORD106680,CUST7362,28.0,Male,Hyderabad,Fashion,Shoes,2,2507.76,15.0,Debit Card,2025-08-27,4.1,7.0,No,4263.19,4263.192,-0.0020000000004074536,4.691320495083152e-05
ORD103291,CUST3155,30.0,Female,Delhi,Fashion,Jeans,2,1988.04,25.0,Debit Card,2025-06-18,4.2,4.0,No,2982.06,2982.06,0.0,0.0
ORD106559,CUST1349,32.0,Male,Pune,Sports,Yoga Mat,2,776.35,15.0,UPI,2025-01-13,3.6,2.0,No,1319.8,1319.795,0.004999999999881766,0.00037884671482175383
ORD107927,CUST6779,39.0,Female,Chennai,Electronics,Smartwatch,1,7739.89,10.0,UPI,2026-06-01,3.2,6.0,Yes,6965.9,6965.901000000001,-0.0010000000011132215,1.4355644748801648e-05
ORD105665,CUST1389,27.0,Male,Chennai,Electronics,Laptop,1,61138.76,5.0,Debit Card,2026-06-17,3.1,5.0,No,58081.82,58081.822,-0.0020000000004074536,3.4434181496707417e-06
ORD106062,CUST5590,33.0,Female,Kolkata,Fashion,Jeans,1,1890.11,10.0,COD,2026-05-05,4.0,3.0,No,1701.1,1701.099,0.0009999999999763531,5.878552629660902e-05
ORD106614,CUST6687,46.0,Male,Hyderabad,Electronics,Smartwatch,1,5999.83,15.0,UPI,2025-06-08,4.4,2.0,No,5099.86,5099.8555,0.004500000000007276,8.823779418862508e-05
ORD103703,CUST8172,32.0,Male,Ahmedabad,Home & Kitchen,Air Fryer,1,6760.65,20.0,Net Banking,2026-03-01,3.2,4.0,No,5408.52,5408.52,0.0,0.0
ORD104915,CUST4603,30.0,Male,Vijayawada,Fashion,Shoes,2,2830.42,5.0,Credit Card,2025-03-16,2.4,5.0,No,5377.8,5377.798,0.0020000000004074536,3.718994280572557e-05
ORD111336,CUST3292,31.0,Male,Bengaluru,Electronics,Tablet,2,21716.46,10.0,Debit Card,2026-06-07,3.9,8.0,No,39089.63,39089.628,0.0020000000004074536,5.116446747478522e-06
ORD114026,CUST1090,32.0,Female,Guntur,Fashion,Jacket,1,2828.92,10.0,Debit Card,2026-01-04,3.7,5.0,No,2546.03,2546.0280000000002,0.0019999999999527063,7.855373153605168e-05
ORD111135,CUST3455,40.0,Female,Visakhapatnam,Beauty,Face Wash,3,561.44,15.0,COD,2025-11-07,2.5,4.0,No,1431.66,1431.672,-0.011999999999943611,0.0008381808123609047
ORD108157,CUST1599,39.0,Male,Guntur,Sports,Dumbbells,2,2752.01,10.0,COD,2026-05-29,3.6,5.0,No,4953.61,4953.618,-0.00800000000072032,0.0001614981211857741
ORD114073,CUST8354,19.0,Female,Delhi,Home & Kitchen,Air Fryer,1,7065.68,5.0,UPI,2026-09-28,4.6,3.0,Yes,6712.4,6712.396,0.0039999999999054126,5.9591239847968044e-05
ORD102407,CUST3853,26.0,Female,Pune,Home & Kitchen,Bedsheet,3,1394.37,10.0,Net Banking,2026-10-05,4.8,4.0,No,3555.64,3764.799,-209.1590000000001,5.555648522006091
ORD106077,CUST4290,44.0,Female,Chennai,Home & Kitchen,Cookware Set,2,2855.16,10.0,Credit Card,2026-05-06,3.9,3.0,No,5139.28,5139.288,-0.007999999999810825,0.00015566358608061712
ORD108328,CUST1217,27.0,Male,Hyderabad,Home & Kitchen,Mixer Grinder,1,3882.85,10.0,Debit Card,2026-08-15,4.5,5.0,No,3494.57,3494.565,0.005000000000109139,0.00014307932461147925
ORD101262,CUST6133,33.0,Female,Warangal,Fashion,Jacket,1,2846.17,15.0,Net Banking,2026-09-01,4.0,7.0,No,2419.24,2419.2445,-0.004500000000007276,0.00018600848322719246
ORD114420,CUST7219,37.0,Male,Kolkata,Electronics,Smartwatch,2,7581.76,10.0,Net Banking,2025-11-09,4.1,4.0,No,13647.18,13647.168000000001,0.011999999998806743,8.793033103136667e-05
ORD110605,CUST5646,23.0,Female,Bengaluru,Fashion,Jacket,1,2696.02,0.0,Debit Card,2026-11-15,3.3,1.0,No,2696.02,2696.02,0.0,0.0
ORD100477,CUST4551,39.0,Female,Visakhapatnam,Fashion,Jeans,2,1647.5,10.0,Debit Card,2025-11-10,4.8,2.0,No,2965.51,2965.5,0.010000000000218279,0.00033721126286354
ORD109192,CUST3857,44.0,Male,Delhi,Fashion,Handbag,3,2482.46,15.0,UPI,2025-11-27,2.9,4.0,Yes,6330.27,6330.273,-0.0029999999997016857,4.7391321033100556e-05
ORD100488,CUST5897,31.0,Male,Mumbai,Electronics,Tablet,2,19950.5,5.0,UPI,2025-12-12,4.4,3.0,Yes,37905.95,37905.95,0.0,0.0
