Area,Bedrooms,Bathrooms,Age,Location,Price
1922,3,4,5,Vijayawada,7471000
2920,4,4,8,Bengaluru,19180000
2318,4,4,15,Chennai,12780000
1325,3,3,3,Visakhapatnam,6736000
1116,2,2,2,Hyderabad,5815000
2020,3,2,27,Hyderabad,10363000
842,2,2,15,Hyderabad,4707000
2890,5,4,23,Bengaluru,20088000
2467,5,4,26,Visakhapatnam,11561000
1395,3,3,25,Chennai,8724000
586,1,1,29,Hyderabad,3549000
2580,4,4,24,Bengaluru,16674000
1626,3,3,11,Bengaluru,10782000
2505,3,3,10,Hyderabad,12883000
664,1,1,4,Hyderabad,3537000
1310,2,1,24,Hyderabad,5982000
1703,3,3,17,Vijayawada,6686000
1731,3,3,18,Visakhapatnam,8929000
1407,2,3,22,Visakhapatnam,6075000
2105,3,2,22,Vijayawada,7650000
1006,1,1,5,Chennai,6652000
1607,3,3,21,Hyderabad,9142000
1778,3,3,17,Vijayawada,7894000
2034,4,4,25,Vijayawada,6954000
2163,3,3,5,Visakhapatnam,11293000
969,2,2,3,Chennai,5558000
703,1,1,11,Hyderabad,4076000
2530,5,4,18,Visakhapatnam,13269000
1916,3,4,28,Visakhapatnam,9680000
1213,2,1,26,Hyderabad,5242000
2708,5,4,28,Visakhapatnam,11105000
1775,3,2,1,Hyderabad,10905000
2467,4,4,16,Hyderabad,13561000
1744,3,3,10,Bengaluru,11037000
3039,5,4,10,Bengaluru,20276000
2841,4,4,20,Chennai,16304000
1538,2,2,15,Vijayawada,6529000
2332,3,2,1,Hyderabad,12915000
2119,4,4,1,Chennai,13501000
2590,3,4,22,Visakhapatnam,10806000
1073,1,2,7,Hyderabad,6681000
2146,4,3,12,Visakhapatnam,10341000
2388,5,4,9,Hyderabad,13903000
557,1,1,7,Bengaluru,2782000
931,1,1,29,Vijayawada,4021000
550,2,2,3,Chennai,3566000
1525,2,2,14,Vijayawada,6531000
2166,2,1,29,Visakhapatnam,8569000
2677,4,3,0,Visakhapatnam,12761000
1748,2,2,10,Hyderabad,9533000
2759,4,4,6,Bengaluru,16263000
803,2,2,16,Chennai,4915000
593,1,1,26,Bengaluru,4344000
1664,2,2,19,Bengaluru,10603000
1950,2,2,23,Visakhapatnam,7557000
1679,3,3,17,Bengaluru,11137000
550,1,1,21,Hyderabad,3114000
1642,2,2,28,Hyderabad,8492000
852,2,2,21,Hyderabad,4247000
2135,3,3,11,Vijayawada,8684000
1938,2,2,8,Vijayawada,7718000
1089,1,1,4,Vijayawada,4861000
1366,2,1,9,Bengaluru,7720000
1012,2,2,3,Vijayawada,4200000
1659,2,2,4,Vijayawada,7967000
2321,4,4,27,Visakhapatnam,11298000
1059,1,1,27,Hyderabad,3901000
2028,4,4,9,Chennai,11506000
1355,2,1,30,Hyderabad,6300000
1185,2,2,10,Bengaluru,8177000
1630,3,3,20,Chennai,8140000
1027,2,2,23,Hyderabad,5100000
1340,2,1,9,Hyderabad,6825000
921,2,1,27,Bengaluru,6107000
2977,5,4,7,Chennai,16716000
1723,3,3,1,Chennai,10574000
1245,2,2,22,Chennai,6546000
1839,3,3,7,Hyderabad,11173000
1627,2,1,15,Vijayawada,6689000
1556,3,2,26,Hyderabad,7580000
2099,3,3,21,Bengaluru,13734000
2192,4,4,4,Chennai,13082000
1355,2,2,26,Vijayawada,5624000
1326,1,1,24,Hyderabad,6201000
1521,2,1,28,Vijayawada,6117000
550,1,2,2,Vijayawada,2778000
715,2,2,11,Chennai,6338000
2588,4,3,12,Chennai,15118000
2769,4,3,12,Bengaluru,18077000
1538,1,1,9,Visakhapatnam,6287000
2075,3,3,3,Hyderabad,11587000
1902,2,2,8,Chennai,9215000
3701,5,4,21,Chennai,21673000
2428,4,4,23,Visakhapatnam,11708000
1617,3,4,22,Chennai,9563000
1079,2,2,26,Visakhapatnam,3476000
656,1,2,1,Visakhapatnam,2685000
1832,3,2,18,Vijayawada,5715000
1208,2,2,0,Hyderabad,7518000
776,1,1,24,Hyderabad,2841000
1280,3,3,28,Hyderabad,6557000
997,2,2,6,Chennai,5873000
2797,4,3,16,Vijayawada,12395000
2273,4,3,2,Visakhapatnam,10839000
1695,3,3,19,Bengaluru,11270000
2662,3,3,19,Hyderabad,14433000
1750,3,2,20,Vijayawada,7789000
1140,1,1,29,Chennai,5514000
2690,4,4,2,Hyderabad,16333000
2050,3,2,2,Hyderabad,10079000
1026,3,3,16,Vijayawada,4899000
1576,3,3,6,Hyderabad,8322000
1131,1,1,26,Bengaluru,6082000
801,2,1,25,Chennai,4461000
2302,4,4,13,Chennai,14001000
2941,5,4,16,Bengaluru,19448000
791,1,1,17,Chennai,3234000
2066,3,3,12,Hyderabad,12165000
1277,2,1,19,Bengaluru,7147000
1383,2,2,28,Visakhapatnam,5068000
1315,3,2,19,Chennai,7894000
1138,2,2,20,Bengaluru,6769000
1732,3,4,26,Vijayawada,7065000
1160,1,1,17,Hyderabad,4335000
1876,4,4,3,Hyderabad,11035000
1667,3,2,0,Vijayawada,7423000
1545,4,3,17,Bengaluru,9733000
1110,1,1,0,Bengaluru,5834000
1325,3,3,25,Hyderabad,6777000
2191,3,3,25,Visakhapatnam,9422000
2026,3,2,12,Vijayawada,8023000
1065,1,1,19,Hyderabad,3979000
